"author";"first 3-gram";"second 3-gram";"third 3-gram";"fourth 3-gram";"fifth 3-gram"
"Juan Ku";"refactor gem structure";"";"";"";""
"AJInddev";"updates 20200101 124859";"tracker updates 20200101";"@ranveer tracker updates";"";""
"Geoffrey van Wyk";"with gridsome the";"was $ gridsome";"used to create";"todayilearnedblog \ >";"to create the"
"Benjamin Spain";"prev next buttons";"wip * padding";"version of the";"verify fixes *";"unique key message"
"uttie";"new poem echoes";"adding new poem";"adding install file";"";""
"Joe Hinkley";"soundcard hover effects";"";"";"";""
"Greg Fodor";"look and feel";"hubs cloud look";"cloud look and";"and feel doc";"added hubs cloud"
"Lucy Hao";"merge branch 'somefontchanges'";"";"";"";""
"Toshiki Tsuboi";"testcase for ""$5";"for ""$5 +";"chf = $10""";"10 chf =";"+ 10 chf"
"Michael Catanzariti";"true then requirementpolicy";"then requirementpolicy =";"support for datamemberattribute";"serialization like in";"requirementpolicyalways * ignoreifdefault"
"FajsiEx";"wrong legacy class";"to the propedit";"to the overlay";"to propedit overlay";"tag displaying to"
"Saleem Abdulrasool";"windows move swift";"windows correct artifact";"upto the pipeline";"swift options upto";"options upto the"
"Daishan";"add rancher customization";"";"";"";""
"mlevatich";"read lighting data";"lighting data from";"data from file";"";""
"Talon Poole";"super important final";"important final badge";"final badge lmfao";"docsreadme super important";"docsreadme more badges"
"Jimmy Wong";"update links and";"links and details";"";"";""
"陈嘉涵";"chore release 240";"";"";"";""
"Aleksandr Statciuk";"updated channel name";"update grm3u updated";"tvgname removed broken";"tvgid and tvgname";"removed broken link"
"Bryant Omoregie";"up by learn";"backed up by";"automatically backed up";"";""
"Michael B";"moved data access";"fixed products registration";"";"";""
"mransan";"bsocamlprotocjson as a";"as a git";"add bsocamlprotocjson as";"a git module";""
"Andres Felipe Torres";"clase 117 ajuste";"ajuste a nuevo";"a nuevo servicio";"117 ajuste a";""
"Krzysiek";"upgrade to spring";"to spring boot";"spring boot 222";"refactor test method";"boot 222 and"
"Josh Cummings";"upgrade to spring";"to spring boot";"spring boot 222";"request #8420 from";"refactor test method"
"Joe Loughry";"teleporation on chip";"quantum teleporation on";"on chip in";"chip in silicon";""
"mhkeller";"add webgl layout";"";"";"";""
"Chris Dart";"editing of banks";"add editing of";"";"";""
"Melissa3199";"commit on master";"";"";"";""
"Gabriel Dudlicek";"with user 2""";"to conflict with";"conflict with user";"change to conflict";"a change to"
"Matthew Peveler";"to requeststhreads on";"requeststhreads on community/recommended";"link to requeststhreads";"fix link to";""
"Nate Prewitt";"to requeststhreads in";"requeststhreads in community/recommended";"request #5250 from";"pull request #5250";"merge pull request"
"Mickaël Schoentgen";"merge branch 'master'";"branch 'master' into";"'master' into fixresourcewarnings";"";""
"Adit P Patel";"up by learn";"backed up by";"automatically backed up";"";""
"Adam Mohammed";"npm md spellchecker";"add npm md";"";"";""
"Alistair Hey";"remove unfinished post";"";"";"";""
"Michael Shen";"add playback selection";"";"";"";""
"Cole Summers";"finished computerplay func";"";"";"";""
"Vineet Sinha";"naming and menu";"menu item active";"improved menu formatting";"better naming and";"and menu item"
"EveningShade";"remotetracking branch 'origin/master'";"merge remotetracking branch";"conflicts # app/src/main/androidmanifestxml";"branch 'origin/master' #";"'origin/master' # conflicts"
"Adam";"mini funciton added";"";"";"";""
"Dipankar Dutta";"files via upload";"add files via";"";"";""
"Devin Fitzsimons";"request #1 from";"pull request #1";"merge pull request";"handlebars from 412";"from aisflat439/dependabot/npm_and_yarn/handlebars453 bump"
"Crieve-Sargeras";"with the soft";"the soft reserve";"some bugs with";"soft reserve ui";"fixed some bugs"
"JumHorn";"reconstruct a 2row";"matrix beats 8947%";"binary matrix beats";"a 2row binary";"2row binary matrix"
"Pier Luigi Fiorini";"merge branch 'develop'";"";"";"";""
"Takuya Takeuchi";"merge branch 'feature/shufflenetv2'";"branch 'feature/shufflenetv2' into";"'feature/shufflenetv2' into develop";"wrong library name";"merge branch 'release/release'"
"Omar Dario";"subo las imagenes";"si subo las";"para la pagina";"pagina de github";"las imagenes al"
"Robert Impellitteri";"trying to force";"to force css";"remove button to";"other 12 trying";"other 11 added"
"VoiceSC";"updated blogs are";"updated and formatted";"of https//githubcom/listvalet/listvalet into";"more changes revision";"merge branch 'andrew'"
"Walter Torres";"update paper figures";"";"";"";""
"Elijah Christensen";"to its own";"started fleshing out";"sources to its";"own file data_sourcesmd";"moved data sources"
"Diversity Timestamping Service";"up to 20200101";"to 20200101 002337";"timestamped commits up";"newly timestamped commits";"commits up to"
"Gitta Timestamping Service";"timestamp 20200101 004919";"https//gittazeitgitternet branch timestamp";"branch timestamp 20200101";"20200101 004919 utc";""
"Mathi Gatti";"testing algorithm modifications";"modifications and adding";"color based on";"based on position";"and adding color"
"Will Dickson";"worked on read/write";"versions of nonblocking";"serialport_t added preliminary";"read/write methods for";"preliminary versions of"
"heroku-bot";"main 1 file";"file 3+ 3";"facebook main 1";"am facebook main";"20200101 1249 am"
"huanminwu";"create leetcode_sort_iii_mergesort docx";"create leetcode_sort_ii_lis docx";"create leetcode_sort_i_heapsort docx";"";""
"Michelle Handipranata";"the analysis result";"result images have";"images have been";"have been added";"analysis result images"
"doctor4t";"tooltips for books";"to combine books";"recipe to combine";"page amount tooltips";"combine books with"
"umgi";"transmission and kodi";"and kodi ports";"allow transmission and";"";""
"traderres";"works with formatting";"";"";"";""
"Paul Brady";"to host server";"static page generation";"pushable to host";"make dist directory";"dist directory pushable"
"Iván Hernández";"modifique las routes";"estamos en problemas";"";"";""
"matthew46";"updated gps added";"gps added latitude";"added latitude parsing";"";""
"João Oliveira";"which adds a";"typo in dir";"to motos table";"to assert batch";"table to assert"
"David Salazar";"ml week 1";"";"";"";""
"Daniel Rejon";"to extract text";"text area component";"refactor to extract";"refactor poll components";"extract text area"
"Rob Fowler";"the server on";"server on startup";"don't abuse the";"abuse the server";""
"nedyudombat";"modified token colors";"";"";"";""
"rene";"remove expired port";"when not using";"when ndk is";"via uses=ssl instead";"using ndk default"
"yuri";"update 0160 >";"reported by portscout";"net/clash update 0160";"> 0170 reported";"0170 reported by"
"jbeich";"reported by github";"github watch releases";"by github watch";"x86 for now";"x11wm/sway update to"
"jhale";"update to 582";"to 582 pr";"submitted by eric";"pr 243008 submitted";"finance/aqbanking update to"
"pkubaj";"on gcc architectures";"no configure error";"needs c++11 compiler";"library containing ilinit";"l_ve without devil"
"adridg";"by piotr smyrak";"you can still";"with openal installed";"what the port";"was always a"
"Tim Creech";"remotetracking branch 'upstream/master'";"merge remotetracking branch";"";"";""
"Cms Build";"update data 202001010149";"report generated 202001010152";"new report generated";"";""
"Yevgeniy Miretskiy";"when retrying release";"when importing over";"transient errors when";"to connection reset";"to connection interruption"
"ropenscibot";"registryjson and raw_cmjson";"and raw_cmjson updated";"";"";""
"Evil Artist";"vscode setting folder";"to test http";"test http message";"ignore vscode setting";"code to test"
"Edward Silverton";"use enums for";"states and actions";"for events states";"events states and";"enums for events"
"Naw Singh";"level 7 task";"7 task 2";"";"";""
"Matt Beachey";"added file structure";"";"";"";""
"Michael Galperin";"removed boilerplate posts";"";"";"";""
"Koichi Shiraishi";"sources run black";"language fix handle";"language add testcases";"handle interface value";"fix handle interface"
"Shougo";"sources run black";"request #163 from";"pull request #163";"merge pull request";"from deopleteplugins/syntaxblack sources"
"Joshua Poirier";"vs code settings";"typo in readme";"settings to gitignore";"game environment start";"fix typo in"
"wgfxer";"hometask_4 fixed bugs";"";"";"";""
"Mark Crossen";"version to 043";"gem version to";"bumped gem version";"";""
"Thomas K";"tv streams in";"streams in greek";"star & alpha";"in greek playlist";"alpha tv streams"
"Kamen Stanev";"your sites a";"you can see";"wpcalypso and the";"would get the";"where you can"
"jonathansadowski";"update error handling";"to progress page";"progress page update";"polling to progress";"page update error"
"deepscanbot";"of https//githubcom/automattic/wpcalypso into";"merge branch 'master'";"https//githubcom/automattic/wpcalypso into head";"branch 'master' of";"'master' of https//githubcom/automattic/wpcalypso"
"Agencia Web Bogotá";"banner tienda online";"";"";"";""
"Ike Otu";"with the array";"undefined objects and";"the targeting issue";"targeting issue with";"objects and the"
"ZsZs";"correct compillation failure";"";"";"";""
"Logan Perry-Din";"files via upload";"add files via";"";"";""
"Rahul Ravikumar";"to the new";"the old format";"the new one";"old format to";"from the old"
"duncan ralph";"tue dec 31";"pushed on tue";"on tue dec";"forecasts pushed on";"merge branch 'master'"
"Gavin M. Roy";"the aiorabbit/channelpy stub";"remove the aiorabbit/channelpy";"add a new";"working channel 0";"with rabbitmq it"
"milenaonmaui";"use redirect for";"switch in mealscontainer";"redirect for incorrect";"meal id and";"incorrect meal id"
"GitHub Actions";"for v1 machines";"configuratons for v1";"add configuratons for";"";""
"v-acoder";"site updated 20200101";"updated 20200101 085851";"updated 20200101 085418";"updated 20200101 084952";""
"Thomas Lane";"resources/views/indexhtml to resources/views/home/indexhtml";"rename resources/views/indexhtml to";"files via upload";"add files via";""
"Kevin Liang - Surface";"pytorch tutorial materials";"initial pytorch tutorial";"";"";""
"Jeremy Schlatter";"playground add appengine";"appengine healthcheck endpoint";"add appengine healthcheck";"";""
"Yoshitaka Terazawa";"update dependency typescript";"typescript to v374";"request #159 from";"pull request #159";"merge pull request"
"May Roussel";"add build steps";"";"";"";""
"Dean Rexines";"unet + decaying";"scripts + saving";"saving model in";"refine unet +";"model in pb"
"Jeremy Philipson";"remove item functionality";"chroe remove dist";"chore add remove";"add remove item";""
"Harry Seong";"languages extraction bug";"fixed languages extraction";"";"";""
"Notary Depot";"updated at 20200101t005005z";"";"";"";""
"Jaz Singh";"upgrade babel and";"prop upgrade babel";"babel and build";"and build process";"add `residuals` prop"
"Paul home desktop";"removed ipynb_checkpoints directory";"merge branch 'master'";"branch 'master' of";"'master' of githubcomjpmattern/bayesian_cbiomes";""
"Snow Wang";"commit 20200101 085003";"auto commit 20200101";"";"";""
"ericberman";"svn 6899 allow";"null lastactivity lastlogin";"lastlogin and lastpasswordchange";"lastactivity lastlogin and";"for null lastactivity"
"xiongbingji";"merge branch 'master'";"branch 'master' of";"'master' of https//githubcom/w190601j/dev3";"";""
"p進大好きbot";"update and rename";"rename 00000000imoutogure to";"and rename 00000000imoutogure";"00000000imoutogure to 00000000imoutoguremd";""
"Eungyu Park";"update on contact";"";"";"";""
"Hubert Maraszek";"nonsensical shader pairs";"currently nonsensical shader";"compile currently nonsensical";"build and compile";"and compile currently"
"Nicolas Botello";"fix linting issue";"type for providers";"general type for";"add a general";"a general type"
"Ashley Hughes";"tags > when";"optional due to";"of githubcomqcu87z/dotfiles into";"merge branch 'ansible'";"make installing feh"
"Jeremy Moore";"the capture folder";"capture folder in";"yet been set";"the session added";"set as the"
"Lyrana Hughes";"to sap_dict psa";"segmentedarraypair to segmented_array_pair";"sap_dict psa to";"pseg_arr to sap_dict";"psa to sap"
"Sharma";"updated sever proxy";"updated auth ui";"auth ui flow";"";""
"Tony Arcieri (iqlusion)";"request #318 from";"pull request #318";"merge pull request";"iqlusioninc/anomaly/v010 anomaly v010";"from iqlusioninc/anomaly/v010 anomaly"
"Jose24San";"way history tab";"updated the way";"the way history";"tab is handling";"is handling saving"
"Jose Sanchez";"way history tab";"updated the way";"the way history";"tab is handling";"request #32 from"
"ClumsyAdmin";"files via upload";"add files via";"";"";""
"nachoapps";"manually approved es";"";"";"";""
"tmaul";"well put the";"tweak to enable";"to enable software";"the delays back";"software gamma in"
"Paul O'Shea";"to home background";"parallax fixed on";"on mobile added";"mobile added 100vh";"if parallax fixed"
"Nintendroid1";"values to fields";"to fields in";"in arrest data";"fields in arrest";"assigned values to"
"garudamalang@gmail.com";"lot of change";"a lot of";"";"";""
"Sergey at ssb";"started renaming for";"renaming for figures";"for figures code";"";""
"meissadia";"to full width";"styles to full";"set print styles";"print styles to";""
"Wyatt Pearsall";"tools set print";"to full width";"styles to full";"set print styles";"request #99 from"
"Caleb Roseland";"increase test coverage";"'' and ''";"~ticks~ to _startseconds_";"youtube utils and";"utils and increase"
"edoapra";"some qas [travis";"restrict np for";"qas [travis skip]";"np for some";"for some qas"
"auto commit";"update @ 20200101";"auto update @";"@ 20200101 085001";"";""
"orange451";"up parent changing";"sped up parent";"potentially sped up";"parent changing logic";"npe in physicsobjectinternal"
"jdizz";"update readmemd image";"readmemd image size";"";"";""
"Andrew Zaruba";"when the jump";"weak to actually";"too weak to";"to speak this";"to actually lift"
"Andreas Möller";"version via composer_normalize_version";"to specify version";"specify version via";"remove possibility to";"possibility to specify"
"withparadox2";"add monitor service";"";"";"";""
"cgCodeLife";"notemd changeid if9d0b45b3ae82a9498fca4a9b2feff5713a21e3d";"create notemd changeid";"";"";""
"jton307";"up session flash";"set up session";"session flash message";"message in helper";"flash message in"
"George Liu";"centminsh menu option";"menu option 15";"to fastcgi_buffer_size 4k";"support in 12309beta01";"php extension routines"
"Mike Lindner";"very close to";"value are very";"stretch octave noise";"range because value";"octave noise range"
"Yavar Taheri Yeganeh";"files via upload";"add files via";"";"";""
"github-actions[bot]";"[po] auto sync";"";"";"";""
"Scott Larson";"updated recovery and";"recovery and about";"";"";""
"Jeff Schomay";"via another entity";"target via another";"stat and link";"setlink can lookup";"set link via"
"gahgsp";"thrust sound effect";"sound effect and";"improved movement controls";"effect and improved";"and improved movement"
"Michael Nathan";"vote controller function";"renamed vote controller";"";"";""
"Przemek";"finished statistics section";"";"";"";""
"Andrea Carraro";"value based on";"svg cy value";"script with prepare";"replace prepublish npm";"prepublish npm script"
"Rohit Garudadri";"login button flashing";"fixed login button";"button flashing #780";"when navigating to";"to homepage #779"
"martindholmes";"work on issue";"on issue #23";"";"";""
"Qidi Liu";"old code collection";"";"";"";""
"Claire Walzer";"fixxed preinstall script";"";"";"";""
"rtrouton";"request #60 from";"pull request #60";"merge pull request";"kurehawaru/master improved the";"improved the scripts"
"Brian Larsen";"to python script";"to fix build";"script to fix";"python script to";"order of dependencies"
"anmaree.osmond@gmail.com";"added color game";"";"";"";""
"JWulf7";"w/o having to";"update the employee";"to update the";"to populate employee";"to log out"
"anggi1234";"files via upload";"add files via";"";"";""
"Prahar Patel";"with sample terminal";"updated readme with";"sample terminal output";"readme with sample";""
"Ryan Johnson";"request #1 from";"rentry/dependabot/npm_and_yarn/handlebars453 bump handlebars";"pull request #1";"merge pull request";"handlebars from 412"
"canihavesomecoffee";"the file presence";"locally for the";"for the file";"correct indentation again";"check locally for"
"Koushik Dutta";"server sent callback";"http server sent";"";"";""
"Mark Entingh";"updated rainbow logo";"";"";"";""
"Rick Neff";"rename files for";"for w20 semester";"files for w20";"";""
"mpl";"return pointer instead";"pointer instead of";"instead of value";"closenotifier return pointer";""
"Ludovic Fernandez";"use consistent name";"section about templates";"remove section about";"prepare release v211";"name in acme"
"Manuel Zapf";"service health separately";"query consul for";"migration guide for";"guide for traefik";"for traefik v21"
"Damien Duportal";"for kubernetes crd";"for dashboard and";"example for dashboard";"documentation example for";"dashboard and api"
"Kenneth Peiruza";"support for kubernetes";"kubernetes crd as";"https support for";"for kubernetes crd";"externalname https support"
"Dmitry Sharshakov";"useragent to gohttpclient/11";"set useragent to";"don't set useragent";"";""
"Tiago Boeing";"websecure via cli";"use websecure via";"for use websecure";"fix command for";"command for use"
"Fernandez Ludovic";"fix the doc";"";"";"";""
"Saeid Amiri";"to find obj";"obj but need";"need indexes for";"indexes for multiple";"for multiple ones"
"RajvirSingh12";"update burlington countyjson";"";"";"";""
"Arthur Lisek-Koper";"up the debug";"understand how things";"ui significantly now";"to send random";"things are laid"
"cloudhong-lic";"add common package";"";"";"";""
"Andres";"travis and added";"and added encrypted";"added travis and";"added encrypted file";""
"jimbob666";"simple regression analysis";"add simple regression";"";"";""
"Luiz Gustavo";"validação no lançamento";"paginadas e corrigir";"no lançamento de";"lançamento de itens";"jpql paginadas e"
"neithanmo";"fixing plugins name";"";"";"";""
"SDGGiesbrecht";"generated documentation for";"documentation for 129de93de6e91f1330db3c98f28bcf620f99c0fa";"";"";""
"gioryanreyes";"updated padding of";"padding of connected";"padding for better";"of connected on";"mobile padding for"
"play.js";"upload code from";"code from phone";"";"";""
"Joe Garcia";"split domain &";"queries for services";"local queries for";"fix #83 split";"domain & local"
"GAierken";"for review worked";"delete for review";"user id attributes";"review likes dilikes";"museum id user"
"Peter Bergström";"201624 both python";"";"";"";""
"deidra";"working on getting";"update still working";"update correctly this";"to show and";"this is just"
"Vemahk";"would require that";"would just handle";"would be a";"with new menu";"will complete immediately"
"Bill White";"simple undo redo";"undo redo 2";"";"";""
"Joe Duffy";"* add a";"year in review";"review blog post";"in review blog";"add a 2019"
"Tim Harper";"use expungeafterseconds =";"update integration test";"to use expungeafterseconds";"test to use";"integration test to"
"hrsh38";"merge pull request";"from hrsh38/ghpages updates";"request #3 from";"request #2 from";"request #1 from"
"Harsh Patel";"this reverts commit";"reverts commit b60c787d872cff1623583cc8a0b44f53aebbfded";"revert ""fixed"" this";"remotetracking branch 'refs/remotes/origin/ghpages'";"merge remotetracking branch"
"Hector Ricardo Mendez Sordia";"more fields to";"fields to packagejson";"adding more fields";"";""
"Calvin Weng";"update community section";"section and other";"community section and";"and other fixes";"other fixes #100"
"zhouqiang";"merge branch 'master'";"branch 'master' into";"'master' into bumpversion";"";""
"abalabahaha";"tostring hack coauthoredby";"tostring functions for";"the indexjs tostring";"removes the indexjs";"remaining classes removes"
"Stephen McIntosh";"link to custard";"added marshmallow pudding";"added link to";"";""
"Sahar Hagbi";"user controller dao";"dao and service";"controller dao and";"and service layers";"added user controller"
"sangchi";"this reverts commit";"reverts commit 8ff17b595cdec50984fb639d93fd9eaeaaa0147a";"revert ""update _rename_scripted_effectstxt""";"_rename_scripted_effectstxt"" this reverts";"""update _rename_scripted_effectstxt"" this"
"Daniel Standish";"update / add";"/ add docs";"";"";""
"Alexandre Gigliotti";"enable page refresh";"";"";"";""
"Nathan Alden, Sr";"updated packages converted";"to ""x is";"packages converted ""x";"null"" to ""x";"is null"" to"
"Benjamin Lehmann";"for api key";"file for api";"config file for";"";""
"Micha Ober";"suggestion to option_map_unwrap_or";"real suggestion to";"add real suggestion";"";""
"Yuki Okushi";"update integration name";"unused_extern_crates for now";"test for now";"rustup to rustlang/rust#67707";"rustup to rustlang/rust#67151"
"Krishna Veera Reddy";"usage of `atomic_size_init`";"them in the";"the usage of";"so removing any";"removing any occurences"
"hehaowen00";"slider_fill only on";"scope access of";"run slider_fill only";"reduce scope access";"only on webkit"
"clairedavies";"using iioe data";"update info for";"sti using iioe";"info for sti";"for sti using"
"Bharathwaj Sankara";"scheduler kubelet and";"kubelet and proxy";"controller scheduler kubelet";"";""
"Na Hyung Choi";"post alert to";"move blog post";"improve mobile view";"blog post alert";"alert to bottom"
"Jarred Parr";"make it stop";"it stop yelling";"";"";""
"Tyler Lane";"improved environment variable";"environment variable check";"";"";""
"CrazyJ36";"uniform names across";"toshiba rename installlisttoshibatxt";"rename installlisttoshibatxt for";"names across folders";"installlisttoshibatxt for uniform"
"Mihai Codoban";"properties in cache";"log global properties";"in cache miss";"global properties in";"cache miss error"
"haitdhn";"generated code by";"code by swaggerhub";"";"";""
"josephrmoore";"jumpy death stuff";"";"";"";""
"akkapakasaikiran";"happy new year";"";"";"";""
"Bob Carr";"update 1951 on";"last update 1951";"1951 on 31dec2019";"";""
"esta-rossa";"add new files";"";"";"";""
"Roberto Romero";"with the following";"to its similar";"to circumvent directory";"the rewriterule directive";"the following error"
"Haibo Chen";"zsh as the";"vs code project";"vim into the";"using osc 52";"updates since the"
"ravgeetdhillon";"ghactions updated website";"updated website data";"updated website build";"";""
"Loren Cipriano";"up by learn";"backed up by";"automatically backed up";"";""
"pownkel";"variables add applicationinsightsclient";"to health api";"to container *";"test runs in";"secrets/env variables add"
"Maxim Laikine";"merge branch 'master'";"users/mlaikine/senderdynamic2 # conflicts";"packages/azureservices/src/indexts # packages/servicelibrary/src/indexts";"into users/mlaikine/senderdynamic2 #";"conflicts # packages/azureservices/src/indexts"
"Harshith0307";"to reverse an";"reverse an array";"program to reverse";"";""
"Tegon McCloud";"of chess class";"minor fixes all";"fixes all around";"cleanup of chess";"class and minor"
"Azure pipeline";"update for dsbaseclient/master";"test status update";"status update for";"";""
"naagin";"published from watson";"from watson studio";"";"";""
"resthiana12";"untuk field pengeluaran";"nilai default untuk";"menambahkan nilai default";"default untuk field";""
"mattdeitke";"writing to closed";"to closed stdin";"fix brokenpipeerror caused";"ffmpeg writing to";"caused by ffmpeg"
"ka9cql";"upon new latest";"txlog changed nodedetection";"to achieve around";"threshold based upon";"second node connect/disconnect"
"Kentaro Fukuchi";"template' column and";"column and sort";"and sort selector";"added 'resource template'";"'resource template' column"
"mbest32";"files via upload";"add files via";"";"";""
"Cameron Samak";"to path so";"so hoogle install";"path so hoogle";"local bin to";"is on path"
"Brent Simmons";"write two posts";"two posts one";"tf one for";"public tf one";"posts one for"
"Ishan Narula";"with various cloud";"up syncendpoint with";"syncendpoint with various";"setting up syncendpoint";"section on setting"
"Sahrun";"update surat kematian";"";"";"";""
"ryanmbechtel";"src filename update";"src filename in";"localscroll src files";"fix src filename";"filename in script"
"ahoerr2";"poster images to";"images to profiles";"added poster images";"";""
"software.contreras@gmail.com";"changes on catalog";"";"";"";""
"milek7";"modifications for sim";"";"";"";""
"sso66";"update nodejs snippets";"";"";"";""
"sapeled3";"for post and";"[fix] recommended changes";"triggers for post";"remove after unlike";"post and topics"
"Sapele Moses";"merge pull request";"unlike delete notification";"request #16 from";"request #15 from";"request #14 from"
"mablebable";"it /iing compiles";"/iing compiles \d/";"";"";""
"Macbook";"fixing a failed";"a failed test";"";"";""
"bpremkumar";"changed appjs in";"appjs in client";"request #1 from";"pull request #1";"merge pull request"
"Andrew Abosh";"open graph image";"fix open graph";"";"";""
"rahultewariberkeley";"added member rahul";"";"";"";""
"Gabriel Chen";"merge pull request";"request #3 from";"request #2 from";"rahultewariberkeley/master added member";"pull request #3"
"CircleCI e2e rolling update";"performance result update";"autocommit performance result";"";"";""
"Reini Urban";"unknown tests as";"underflow for the";"the obj>name does";"the i =";"the fixedtype anymore"
"S Joel Franklin";"files via upload";"add files via";"";"";""
"deb";"tasks 12 taskdetail/listsummary";"";"";"";""
"hokage22";"readme just adding";"just adding in";"in an intro";"editing readme just";"an intro line"
"Leonardo Faria";"webpack from 4414";"from 4414 to";"bump webpack from";"4414 to 4415";"to 4415 coauthoredby"
"Asnxthaony";"preview in player";"in player management";"fix 2d preview";"2d preview in";""
"zeptodoctor";"build based on";"based on 579e77f";"";"";""
"Eric Harris-Braun";"remove signature verification";"";"";"";""
"Ken Kundert";"version to 1123";"run flake8 linter";"linter and fix";"flake8 linter and";"bump version to"
"fernandohernandezpaz";"transparencia a los";"por genero aplicando";"por educacion grafico";"para grafico por";"metas por genero"
"Knut Ahlers";"totaltransportedweight seems to";"to be float";"signedoffby knut ahlers";"seems to be";"knut ahlers <knut@ahlersme>"
"Berend de Boer";"update location of";"more files it";"make examples as";"location of manual";"format requirements properly"
"Eugene Koontz";"~je wrap in";"~*/compilededn add dependencies";"wrap in vector";"vector as it";"should have been"
"Nick Mitchell";"top support fixes";"support fixes #169";"kubectl top support";"featplugins/pluginkubeui kubectl top";""
"JasonZhou404";"unknown and keepclear";"tunnings for faster";"to stop fence";"to next tasks";"stop to stop"
"Xiangquan Xiao";"tick retire unused";"retire unused module";"retire tick module";"hmi retire tick";"hmi add storytelling"
"panjiacheng";"with dest keep";"trim overtaken obstacles";"stop bug fix";"sidepass stop bug";"set ignore decisions"
"wfgsy101";"update the dev_kit";"the dev_kit directory";"directory under modules/calibration/data";"dev_kit directory under";"dev_kit config files"
"sjiang2018";"when not in";"skip path_reuse when";"planning skip path_reuse";"path_reuse when not";"not in lane_follow"
"michael4338";"validations for input";"until issues were";"print error logs";"paladin add validations";"of check until"
"michaelfdickey";"text entry box";"entry box working";"box working now";"";""
"DevTools Bot";"via travis cron";"update stats via";"stats via travis";"";""
"William Buck";"updated server requirementstxt";"update build scripts";"tylerthome/master build local";"request #297 from";"pull request #297"
"Birgerev";"threaded world saving";"threaded entity saving";"threading on chunk";"reverted some packages";"position and asynced"
"Diogo Ribeiro";"upgrades make it";"to add named";"their own columns";"tags in their";"tags find shows"
"jerome-wilson-developer";"netlify web links";"gitpages and netlify";"and netlify web";"added gitpages and";""
"albertgoncalves";"path only for";"only for linux";"linux for now";"for now anyways";"for linux for"
"Alex";"can rotate player";"all tests passing";"";"";""
"Sean DuBois";"wait till they";"two peerconnections and";"till they exchange";"they exchange audio/video";"peerconnections and wait"
"chehefen";"merge branch 'master'";"branch 'master' into";"'master' into felixdev";"";""
"Daniel Menchaca Luna";"trabajar con brakets";"se agrega mappeo";"para trabajar con";"mappeo para trabajar";"con brakets y"
"Max Isom";"collapse navbar sooner";"";"";"";""
"ww";"process mutilcpu bug";"add process mutilcpu";"";"";""
"Cal Stephens";"inflation calculator blog";"calculator blog post";"add inflation calculator";"";""
"Nicolas A. Botello Jr";"request #10 from";"pull request #10";"merge pull request";"from bote795/feature/addtypes refactor";"bote795/feature/addtypes refactor types"
"dtr";"update at 1577839901623";"update at 1577839901479";"";"";""
"Sonya McCree";"working on dialogue";"vanish and pause";"updates 31 december";"up vanish and";"to show and"
"SnackKing";"added tradetester page";"";"";"";""
"Shira Maximov";"updated hammer_cli to";"hammer_cli to 0191";"";"";""
"xixuecao";"61 rotate list";"";"";"";""
"BlackTecno";"files via upload";"add files via";"";"";""
"Minsu Han";"set initial files";"";"";"";""
"encgoo";"files via upload";"add files via";"";"";""
"Abd Asis";"on register form";"background on register";"add background on";"";""
"tri angga utama";"tambah filter item";"filter item cetak";"";"";""
"limin0801";"upload by picgo";"";"";"";""
"DsTyM";"class entity created";"availablepharmacy class entity";"";"";""
"Genevieve Warren";"review on staging";"";"";"";""
"Robin Giese";"z85 dictionary to";"to account for";"support decoding flatbuffer";"particle api insanity";"package command names"
"Truong Nguyen`";"update data file";"file at 20200101t005156144z";"data file at";"at 20200101t005156144z [ci";"20200101t005156144z [ci skip]"
"froehlichA";"tint2 theme to";"theme to flatstudio";"switch tint2 theme";"merge branch 'master'";"branch 'master' of"
"Amirali Sharifian";"add introduction figures";"";"";"";""
"German";"transformation function edited";"cost transformation function";"";"";""
"Marcos Minond";"test helper module";"processor test helper";"on timezone settings";"not depend on";"helper module name"
"UdjinM6";"wed jan 1";"utc 2020 autoupdate";"jan 1 004824";"1 004824 utc";"004824 utc 2020"
"Charles E. Thornton";"readme and license";"created readme and";"and license files";"";""
"Demarius Edwards";"up by learn";"backed up by";"automatically backed up";"";""
"Jenkins Toucan Toco";"update of valuejson";"automatic update of";"";"";""
"Austin Gil";"fixed borders &";"borders & sizes";"adding project name";"";""
"Brayden Marshall";"went through entire";"vimrc and tweaked";"vim options and";"tweaked settings check";"through entire vimrc"
"Logan Ralston";"page on navbar";"of active page";"link of active";"highlight link of";"active page on"
"michael sandoval";"within a component";"the issue of";"solved the issue";"separate component from";"rendering a new"
"Stephan Risi";"merge pull request";"with 2nd degree";"up name_preprocessing i";"to make tests";"these changes before"
"Peiling Ding";"update for 20191231";"";"";"";""
"nprindle";"to insert fake";"to get more";"recent closurecompiler version";"overlay to get";"nix files to"
"Charles Provencher";"with test task";"initial commit with";"dispatchfile initial commit";"commit with test";""
"Jonathan Boiser";"js using treesitter";"for js using";"fix afunction commands";"commands for js";"afunction commands for"
"t9md";"when using using";"using using treesitter";"request #1134 from";"pull request #1134";"merge pull request"
"Erik Alfvin";"sizes for mobile";"size fixed shaking";"simulation box size";"responsive orbit simulation";"responsive header sizes"
"vade";"use gt to";"use gt for";"to fix build";"strip logic fixes";"runs of building"
"simiyen";"of mac complated";"half of mac";"";"";""
